bill_id,retailer_name,order_date,email,product,product_category,quantity,price,payment_method,commission,payment_terms,final_price,payment_status,billing_address,promotion
2755911700,Humberto,28/02/2024,hdellatorrec@hibu.com,Sunflower oil,oil,20,3000,credit card,0.9%,100%,2850,paid,796 Goodland Junction,false
6471033508,Debi,12/03/2024,dsillickd@weebly.com,mustard oil,oil,5,800,credit card,1%,50%,792,pending,0 Ronald Regan Alley,false
0033296243,Adelice,22/01/2024,ahellyere@i2i.jp,olive oil,oil,1,220,Gpay,1%,80%,215.6,pending,078 Hoffman Drive,true
2071882970,Gayelord,06/03/2024,gnockf@dailymotion.com,olive oil,oil,5,1100,PayPal,0.9%,50%,1089,pending,3414 7th Parkway,true
1416547347,Dynah,05/03/2024,dclaessensg@techcrunch.com,palm oil,oil,14,1680,PayPal,0.9%,90%,1629.6,pending,06 North Hill,true
9378718434,Mordy,10/03/2024,mgrinth@arstechnica.com,coconut oil,oil,18,3600,credit card,0.9%,90%,3492,pending,702 Orin Center,false
9422857201,Lem,03/04/2024,ljanosevici@bizjournals.com,olive oil,oil,24,5280,PayPal,1%,90%,5121.6,pending,01960 Clemons Park,true
3332597272,Pat,17/03/2024,phenckej@4shared.com,mustard oil,oil,1,160,PayPal,2%,10%,144,pending,64 Packers Plaza,false
1704536553,Salim,05/03/2024,syoungsk@g.co,mustard oil,oil,25,4000,Gpay,2%,50%,3960,pending,7 Red Cloud Lane,false
9660988281,Junie,01/05/2024,jswaingerl@cbc.ca,olive oil,oil,16,3520,debit card,2%,80%,3449.6,pending,2 New Castle Circle,false
5090129436,Adina,02/05/2024,ariponm@prnewswire.com,Sunflower oil,oil,25,3750,cash,2%,90%,3637.5,pending,3 Prairieview Avenue,true
3528878819,Edmund,25/01/2024,ecoppingn@ifeng.com,mustard oil,oil,9,1440,credit card,1%,50%,1425.6,pending,3172 Green Ridge Circle,false
5717420102,Smitty,17/04/2024,smanwaringo@ycombinator.com,coconut oil,oil,19,3800,credit card,0.9%,90%,3686,pending,9 Shopko Trail,false
6844259921,Luciana,26/04/2024,ldebischopp@ft.com,Sunflower oil,oil,18,2700,PayPal,2%,10%,2430,pending,652 Toban Way,true
7417692745,Lark,02/04/2024,ldzeniskevichq@simplemachines.org,olive oil,oil,22,4840,PayPal,0.9%,100%,4598,paid,74 Dottie Crossing,false
0099056127,Phylys,06/04/2024,pmenir@over-blog.com,coconut oil,oil,11,2200,Gpay,2%,90%,2134,pending,935 Crowley Hill,false
7433968520,Gilberto,25/01/2024,gpachtas@npr.org,coconut oil,oil,23,4600,debit card,1%,10%,4140,pending,65 Northland Junction,true
7152231079,Sharron,22/03/2024,smenichellit@shop-pro.jp,mustard oil,oil,14,2240,credit card,0.9%,100%,2128,paid,1101 Dapin Drive,true
8770766657,Sileas,05/03/2024,sstonbridgeu@domainmarket.com,coconut oil,oil,5,1000,cash,2%,10%,900,pending,1 Old Gate Place,false
6178031416,Marybeth,15/03/2024,mlavisv@topsy.com,mustard oil,oil,14,2240,cash,0.9%,80%,2195.2,pending,61 Roth Place,true
9386646994,Ginnifer,27/02/2024,gocklandw@whitehouse.gov,coconut oil,oil,4,800,cash,2%,90%,776,pending,53759 Stoughton Terrace,false
3608402276,Franciska,23/01/2024,fdeyesx@blogs.com,Sunflower oil,oil,19,2850,cash,1%,100%,2707.5,paid,30 Chive Crossing,true
9885300309,Tammara,24/04/2024,tpenhaley@umich.edu,palm oil,oil,16,1920,Gpay,0.9%,100%,1824,paid,4 Gina Center,false
7209443053,Saloma,20/02/2024,schecchetelliz@aboutads.info,palm oil,oil,18,2160,cash,1%,10%,1944,pending,87 7th Junction,false
0951575457,Valencia,24/04/2024,vollerenshaw10@seesaa.net,palm oil,oil,14,1680,PayPal,2%,50%,1663.2,pending,80897 Jenifer Drive,true
5224474531,Conney,06/01/2024,cpauwel11@bluehost.com,olive oil,oil,20,4400,cash,1%,10%,3960,pending,944 Lunder Avenue,false
9574363295,Gerick,21/01/2024,gbothwell12@uol.com.br,olive oil,oil,9,1980,PayPal,1%,80%,1940.4,pending,79 Shopko Point,false
5712714663,Sapphire,02/04/2024,shamblyn13@studiopress.com,mustard oil,oil,22,3520,cash,1%,100%,3344,paid,7 Anzinger Road,true
6163505425,Dulci,11/03/2024,dcoulter14@livejournal.com,palm oil,oil,19,2280,credit card,0.9%,80%,2234.4,pending,74 Merchant Pass,false
8570764871,Angelo,15/03/2024,awitheford15@google.co.uk,mustard oil,oil,22,3520,Gpay,1%,90%,3414.4,pending,09058 Brickson Park Circle,false
3029441989,Petrina,10/01/2024,pminihan16@merriam-webster.com,olive oil,oil,5,1100,PayPal,2%,10%,990,pending,04677 Green Terrace,true
5279038822,Noel,02/01/2024,npinnion17@toplist.cz,palm oil,oil,18,2160,debit card,1%,50%,2138.4,pending,24 Linden Avenue,true
9895190875,Petronille,18/03/2024,ptooby18@washingtonpost.com,mustard oil,oil,2,320,Gpay,0.9%,90%,310.4,pending,16 Bunting Trail,false
1806653109,Joceline,15/03/2024,jhouldey19@hexun.com,Sunflower oil,oil,24,3600,credit card,1%,80%,3528,pending,3 Dixon Center,false
6322524232,Bari,18/03/2024,bgentric1a@vimeo.com,coconut oil,oil,19,3800,Gpay,2%,90%,3686,pending,12240 Forster Parkway,false
4432523492,Annadiane,26/03/2024,ademaine1b@cornell.edu,palm oil,oil,22,2640,Gpay,1%,90%,2560.8,pending,4 Arkansas Junction,false
9571512559,Dre,31/01/2024,djupp1c@patch.com,mustard oil,oil,22,3520,Gpay,2%,10%,3168,pending,21044 Fisk Plaza,false
7944927196,Clive,21/03/2024,cmacenzy1d@whitehouse.gov,mustard oil,oil,10,1600,credit card,0.9%,80%,1568,pending,483 Redwing Way,true
2389045723,Clementius,06/04/2024,cmarini1e@google.ca,palm oil,oil,20,2400,credit card,1%,100%,2280,paid,11 Hoepker Point,true
7665890571,Carlina,06/02/2024,cmaingot1f@ted.com,olive oil,oil,15,3300,PayPal,1%,10%,2970,pending,6 Stang Parkway,false
7680759669,Bucky,20/04/2024,bglossup1g@shutterfly.com,mustard oil,oil,9,1440,PayPal,0.9%,90%,1396.8,pending,43 Charing Cross Way,false
8483649799,Neda,16/01/2024,nsimmans1h@google.it,coconut oil,oil,8,1600,debit card,0.9%,100%,1520,paid,0850 Di Loreto Park,false
5858717683,Tish,23/03/2024,tbeastall1i@acquirethisname.com,olive oil,oil,25,5500,debit card,2%,100%,5225,paid,3141 Shasta Lane,false
2239631457,Bertie,22/02/2024,bknaggs1j@businesswire.com,coconut oil,oil,1,200,PayPal,1%,90%,194,pending,1520 Onsgard Drive,true
3087917923,Steffie,18/03/2024,smawhinney1k@cnet.com,coconut oil,oil,6,1200,Gpay,1%,90%,1164,pending,855 Pepper Wood Way,true
4122597544,Paul,08/03/2024,pmickleborough1l@macromedia.com,olive oil,oil,1,220,debit card,2%,50%,217.8,pending,126 Iowa Drive,false
2050017103,Harli,31/03/2024,htreppas1m@histats.com,olive oil,oil,6,1320,debit card,0.9%,90%,1280.4,pending,7213 Continental Junction,false
5663044396,Anjanette,26/02/2024,aechelle1n@springer.com,palm oil,oil,1,120,PayPal,2%,100%,114,paid,268 Jana Trail,false
5439554386,Meggi,06/03/2024,mcrudge1o@economist.com,Sunflower oil,oil,14,2100,credit card,0.9%,10%,1890,pending,191 Bonner Alley,true
8663973322,Brit,24/03/2024,broman1p@w3.org,Sunflower oil,oil,4,600,Gpay,2%,100%,570,paid,80 Southridge Drive,false
1662189419,Livvy,01/05/2024,lgother1q@tamu.edu,Sunflower oil,oil,9,1350,debit card,2%,80%,1323,pending,38 Northwestern Hill,false
5553837553,Andy,11/01/2024,askerratt1r@quantcast.com,olive oil,oil,15,3300,credit card,2%,100%,3135,paid,75341 Dixon Pass,false
4713004499,Ericka,01/02/2024,ekoppelmann1s@macromedia.com,palm oil,oil,24,2880,credit card,0.9%,10%,2592,pending,316 Nevada Street,true
6378246084,Vania,04/03/2024,vgriffoen1t@bravesites.com,Sunflower oil,oil,2,300,debit card,2%,10%,270,pending,6166 Elgar Court,true
3150035120,Ford,19/04/2024,fvanbrugh1u@prnewswire.com,palm oil,oil,4,480,debit card,0.9%,50%,475.2,pending,6 Dunning Place,true
6366926743,Miltie,18/03/2024,mrobelet1v@irs.gov,Sunflower oil,oil,21,3150,Gpay,1%,80%,3087,pending,32 Esker Street,false
1123299463,Brooke,13/04/2024,bsmithers1w@aol.com,palm oil,oil,23,2760,credit card,2%,50%,2732.4,pending,2494 Myrtle Terrace,false
9401318484,Ivonne,04/05/2024,iparagreen1x@sphinn.com,palm oil,oil,22,2640,PayPal,0.9%,10%,2376,pending,859 Brentwood Court,false
8537602248,Barbey,24/02/2024,bebanks1y@nydailynews.com,Sunflower oil,oil,21,3150,PayPal,1%,50%,3118.5,pending,820 Arrowood Terrace,false
1719144249,Rikki,13/04/2024,rhradsky1z@pcworld.com,Sunflower oil,oil,7,1050,Gpay,1%,10%,945,pending,45857 Loftsgordon Park,true
5004545278,Noell,05/03/2024,nlangland20@chron.com,Sunflower oil,oil,6,900,Gpay,0.9%,50%,891,pending,343 Starling Junction,false
0504383809,Burlie,05/01/2024,btunnock21@rambler.ru,olive oil,oil,10,2200,PayPal,1%,50%,2178,pending,9 Prairie Rose Trail,true
7652677092,Rania,23/02/2024,rleabeater22@chicagotribune.com,Sunflower oil,oil,12,1800,Gpay,1%,80%,1764,pending,30741 Green Way,true
3495352341,Mae,03/02/2024,mtatlock23@csmonitor.com,mustard oil,oil,20,3200,PayPal,0.9%,100%,3040,paid,795 Judy Alley,false
2854458621,Maurizia,04/05/2024,mdufaur24@bluehost.com,mustard oil,oil,5,800,PayPal,2%,10%,720,pending,3759 Division Lane,false
9857589685,Milly,06/02/2024,mfilipyev25@furl.net,mustard oil,oil,16,2560,cash,2%,50%,2534.4,pending,33 Fulton Lane,true
0066514959,Janette,23/04/2024,jstickins26@vkontakte.ru,mustard oil,oil,18,2880,debit card,2%,10%,2592,pending,81 Thackeray Crossing,false
6817060974,Teresita,22/02/2024,tgater27@blogtalkradio.com,Sunflower oil,oil,12,1800,credit card,1%,10%,1620,pending,83776 Hooker Way,false
6301372646,Neddy,04/03/2024,ncalven28@xrea.com,olive oil,oil,24,5280,Gpay,1%,90%,5121.6,pending,08522 Meadow Ridge Way,true
2750349214,Oriana,02/05/2024,overrell29@craigslist.org,coconut oil,oil,11,2200,Gpay,2%,10%,1980,pending,455 Arkansas Way,true
4101644004,Beverly,12/03/2024,bfishley2a@google.com,olive oil,oil,2,440,Gpay,2%,80%,431.2,pending,5752 Southridge Hill,false
0899459773,Camile,02/03/2024,cassel2b@webmd.com,mustard oil,oil,9,1440,PayPal,1%,90%,1396.8,pending,182 East Hill,true
9791331901,Ruby,19/02/2024,rguerreau2c@uol.com.br,palm oil,oil,22,2640,Gpay,1%,50%,2613.6,pending,00 Valley Edge Point,false
9780239820,Raimund,05/04/2024,rtaffee2d@dedecms.com,mustard oil,oil,15,2400,Gpay,2%,90%,2328,pending,795 Vahlen Parkway,true
6931288849,Michael,25/02/2024,mrainford2e@census.gov,coconut oil,oil,21,4200,cash,0.9%,80%,4116,pending,96 Hoard Avenue,false
9470767314,Adah,15/03/2024,ahallede2f@google.co.jp,palm oil,oil,8,960,Gpay,2%,100%,912,paid,3151 Manitowish Court,false
4499912180,Leonardo,27/03/2024,lspriggen2g@wsj.com,olive oil,oil,16,3520,debit card,1%,100%,3344,paid,98 Pennsylvania Court,false
8724262986,Graehme,20/01/2024,gascraft2h@deviantart.com,olive oil,oil,10,2200,debit card,2%,50%,2178,pending,825 Nelson Point,false
8454070303,Afton,03/03/2024,amcclintock2i@g.co,olive oil,oil,11,2420,PayPal,0.9%,10%,2178,pending,71338 Fordem Crossing,false
8325015217,Aylmer,14/03/2024,apasley2j@jugem.jp,olive oil,oil,24,5280,PayPal,1%,10%,4752,pending,95399 Arizona Center,true
6911030978,Dene,11/01/2024,djanoch2k@boston.com,mustard oil,oil,15,2400,cash,0.9%,90%,2328,pending,452 Grim Lane,false
6986046049,Kris,20/02/2024,kreisen2l@gravatar.com,olive oil,oil,14,3080,credit card,1%,100%,2926,paid,539 Jay Junction,false
4695991993,Babita,12/03/2024,bshearer2m@freewebs.com,coconut oil,oil,23,4600,Gpay,1%,80%,4508,pending,92 Londonderry Trail,false
1739360990,Ave,30/03/2024,aaurelius2n@washingtonpost.com,Sunflower oil,oil,15,2250,debit card,0.9%,80%,2205,pending,8 Little Fleur Alley,false
8382714013,Clint,08/03/2024,cledwich2o@cmu.edu,Sunflower oil,oil,7,1050,PayPal,2%,90%,1018.5,pending,55 Bay Pass,false
0942179781,Herman,13/02/2024,hmasselin2p@miitbeian.gov.cn,olive oil,oil,21,4620,PayPal,1%,100%,4389,paid,8283 Arrowood Trail,false
5170403623,Constantin,14/01/2024,catlay2q@prlog.org,palm oil,oil,22,2640,Gpay,0.9%,10%,2376,pending,7298 Haas Trail,false
3120974382,Carmine,24/03/2024,cdyet2r@wix.com,palm oil,oil,3,360,cash,2%,50%,356.4,pending,9048 Lake View Circle,false
9714172365,Mohandas,21/01/2024,miiannoni2s@unblog.fr,coconut oil,oil,25,5000,debit card,2%,100%,4750,paid,1884 Brentwood Parkway,false
2349603512,Ned,01/02/2024,nkopacek2t@mysql.com,coconut oil,oil,7,1400,Gpay,0.9%,90%,1358,pending,43 Sunnyside Parkway,false
7215780864,Yance,30/04/2024,yziemsen2u@alexa.com,mustard oil,oil,9,1440,PayPal,2%,80%,1411.2,pending,52813 Red Cloud Place,false
2538709407,Aubree,02/03/2024,abice2v@godaddy.com,mustard oil,oil,2,320,PayPal,1%,80%,313.6,pending,850 Anniversary Trail,false
5830951657,Ferdy,29/04/2024,fpressland2w@miibeian.gov.cn,mustard oil,oil,19,3040,debit card,0.9%,90%,2948.8,pending,67 Brown Junction,false
3914983876,Sallyanne,01/05/2024,smoff2x@cafepress.com,mustard oil,oil,2,320,Gpay,2%,100%,304,paid,884 Buhler Crossing,true
1144221021,Bamby,18/02/2024,bseebert2y@mac.com,palm oil,oil,7,840,Gpay,0.9%,80%,823.2,pending,9 Redwing Parkway,true
2304262031,Benjie,14/04/2024,bhlavecek2z@is.gd,olive oil,oil,14,3080,Gpay,1%,80%,3018.4,pending,8 Graceland Drive,true
3148294106,Jo-anne,24/04/2024,jbarford30@cnbc.com,coconut oil,oil,9,1800,credit card,0.9%,10%,1620,pending,3081 Algoma Circle,false
0954226941,Merline,04/03/2024,mslaight31@geocities.com,coconut oil,oil,9,1800,debit card,2%,100%,1710,paid,076 Prairie Rose Parkway,true
4797681438,Udell,26/01/2024,uchaffen32@disqus.com,mustard oil,oil,20,3200,cash,0.9%,10%,2880,pending,251 Drewry Alley,true
8909592087,Elsworth,16/04/2024,eduplain33@bravesites.com,palm oil,oil,15,1800,cash,1%,90%,1746,pending,6263 Londonderry Pass,true
5118528771,Shepperd,05/03/2024,sthirlaway34@amazon.co.jp,olive oil,oil,22,4840,cash,1%,90%,4694.8,pending,373 Mariners Cove Crossing,false
1877941719,Angelle,25/01/2024,abudgey35@nsw.gov.au,mustard oil,oil,17,2720,cash,2%,100%,2584,paid,6 Surrey Parkway,true
7573773331,Bunny,09/01/2024,biannelli36@dot.gov,palm oil,oil,20,2400,PayPal,1%,90%,2328,pending,29200 Graceland Crossing,false
0900594039,Ali,12/01/2024,agully37@slate.com,Sunflower oil,oil,13,1950,credit card,1%,90%,1891.5,pending,739 Westerfield Place,true
3057345166,Flem,27/04/2024,fstandbridge38@paginegialle.it,Sunflower oil,oil,23,3450,debit card,1%,50%,3415.5,pending,5953 Stang Center,false
8116544888,Jeniece,29/03/2024,jrivard39@tinypic.com,Sunflower oil,oil,12,1800,PayPal,2%,80%,1764,pending,06671 Fuller Place,true
0032347448,Gustave,11/04/2024,gsibyllina3a@yandex.ru,olive oil,oil,24,5280,Gpay,0.9%,50%,5227.2,pending,19 Caliangt Plaza,true
7886666712,Almira,01/01/2024,aweal3b@gizmodo.com,olive oil,oil,8,1760,Gpay,2%,100%,1672,paid,2 Parkside Center,false
7716154532,Sheffield,03/04/2024,sdahlen3c@slate.com,olive oil,oil,4,880,PayPal,0.9%,80%,862.4,pending,490 Pleasure Alley,true
7622989223,Reynolds,13/04/2024,rutterson3d@gov.uk,Sunflower oil,oil,10,1500,Gpay,0.9%,10%,1350,pending,99367 Buena Vista Junction,true
5446119169,Leora,18/02/2024,lmoro3e@comsenz.com,olive oil,oil,20,4400,PayPal,2%,80%,4312,pending,59 Susan Road,false
0866027890,Steward,29/01/2024,sdyson3f@etsy.com,palm oil,oil,2,240,cash,0.9%,100%,228,paid,607 Columbus Pass,false
4279655812,Leontyne,31/03/2024,lpolle3g@i2i.jp,mustard oil,oil,15,2400,debit card,0.9%,100%,2280,paid,99 Thierer Way,false
7969046703,Haze,28/01/2024,hsim3h@fc2.com,coconut oil,oil,7,1400,debit card,1%,10%,1260,pending,7 Cardinal Drive,false
7704937871,Kareem,31/03/2024,kclemanceau3i@hc360.com,mustard oil,oil,22,3520,cash,1%,10%,3168,pending,115 Oak Valley Crossing,true
1704874955,Amalea,15/02/2024,aalecock3j@washingtonpost.com,olive oil,oil,7,1540,debit card,1%,90%,1493.8,pending,134 Anhalt Road,false
2013880502,Natale,03/05/2024,nmatz3k@diigo.com,palm oil,oil,11,1320,Gpay,1%,50%,1306.8,pending,7 Nelson Way,true
5429198226,Tammy,30/01/2024,temma3l@biglobe.ne.jp,Sunflower oil,oil,21,3150,credit card,2%,10%,2835,pending,34200 Hagan Plaza,false
7046875715,Broderic,12/01/2024,bvears3m@e-recht24.de,coconut oil,oil,25,5000,cash,0.9%,10%,4500,pending,433 Hovde Park,false
4169195914,Lars,17/02/2024,lupex3n@bbc.co.uk,palm oil,oil,18,2160,credit card,1%,80%,2116.8,pending,2195 Bayside Pass,true
3062443316,Creigh,13/04/2024,cdesaur3o@go.com,Sunflower oil,oil,20,3000,debit card,0.9%,90%,2910,pending,02192 Gerald Road,true
7154207108,Gael,18/04/2024,gsweeting3p@bigcartel.com,palm oil,oil,7,840,cash,1%,80%,823.2,pending,2 Division Junction,false
6521211455,Ravid,08/03/2024,rrawet3q@cloudflare.com,Sunflower oil,oil,18,2700,cash,2%,90%,2619,pending,8 Fairfield Park,true
6334773569,Tildi,01/04/2024,tturmell3r@rakuten.co.jp,palm oil,oil,2,240,cash,0.9%,80%,235.2,pending,1 1st Center,true
9140282929,Suellen,15/03/2024,stregenza3s@domainmarket.com,coconut oil,oil,11,2200,cash,1%,90%,2134,pending,92 Mallory Hill,true
7414643379,Mahalia,03/01/2024,mdematteis3t@oaic.gov.au,coconut oil,oil,11,2200,cash,0.9%,10%,1980,pending,8016 Hagan Hill,true
2743357460,Godiva,25/02/2024,gbraksper3u@sogou.com,coconut oil,oil,20,4000,PayPal,0.9%,90%,3880,pending,514 Vermont Hill,false
2180854935,Fern,30/01/2024,ftsar3v@stanford.edu,palm oil,oil,20,2400,Gpay,1%,100%,2280,paid,59264 Mcguire Point,false
6118776342,Janina,24/03/2024,jinseal3w@macromedia.com,palm oil,oil,7,840,debit card,0.9%,10%,756,pending,5287 Vermont Place,true
6896295945,Dunstan,21/02/2024,dsproston3x@sun.com,palm oil,oil,9,1080,cash,0.9%,80%,1058.4,pending,6055 Steensland Place,false
6009088798,Elwood,30/03/2024,ehuke3y@mtv.com,Sunflower oil,oil,5,750,credit card,2%,100%,712.5,paid,869 Vernon Circle,false
2713516498,Willis,15/04/2024,wcouve3z@stumbleupon.com,Sunflower oil,oil,3,450,PayPal,2%,50%,445.5,pending,1 Towne Trail,false
3693452857,Care,16/03/2024,cclassen40@imgur.com,olive oil,oil,20,4400,cash,2%,90%,4268,pending,3 Schiller Hill,false
0236829645,Fabiano,14/04/2024,fethelston41@google.pl,olive oil,oil,18,3960,debit card,2%,50%,3920.4,pending,2812 Dwight Plaza,false
6609914524,Vannie,10/01/2024,vsimmig42@wix.com,mustard oil,oil,4,640,PayPal,2%,100%,608,paid,647 Reindahl Hill,true
9358052856,Alfie,18/01/2024,athickin43@people.com.cn,palm oil,oil,2,240,credit card,0.9%,80%,235.2,pending,175 Gina Avenue,false
5472362296,Valera,25/03/2024,venders44@miitbeian.gov.cn,Sunflower oil,oil,22,3300,Gpay,2%,90%,3201,pending,05 Victoria Hill,true
3353739076,Leonie,08/02/2024,lwragge45@icq.com,olive oil,oil,1,220,Gpay,1%,10%,198,pending,8 Iowa Avenue,false
1006252584,Cindra,02/02/2024,cmogra46@ucla.edu,olive oil,oil,20,4400,credit card,0.9%,10%,3960,pending,35 Redwing Plaza,true
5514271021,Minnnie,08/04/2024,mmarr47@artisteer.com,palm oil,oil,21,2520,cash,2%,50%,2494.8,pending,83629 Darwin Crossing,true
4720604129,Marquita,18/01/2024,mshawdforth48@vinaora.com,mustard oil,oil,8,1280,debit card,0.9%,50%,1267.2,pending,31 Loftsgordon Drive,true
1001290658,Stuart,27/02/2024,shourican49@nytimes.com,olive oil,oil,25,5500,cash,2%,80%,5390,pending,81 Spenser Point,true
6793025082,Tris,23/02/2024,tblanckley4a@pcworld.com,Sunflower oil,oil,19,2850,debit card,2%,90%,2764.5,pending,973 Spaight Avenue,false
9053623469,Sibley,31/01/2024,sbrogden4b@clickbank.net,Sunflower oil,oil,14,2100,PayPal,1%,10%,1890,pending,4 Loftsgordon Street,false
3170126229,Lin,10/04/2024,lkubista4c@dmoz.org,coconut oil,oil,9,1800,cash,0.9%,100%,1710,paid,79 Sunfield Point,false
6946893085,Meghann,12/03/2024,mconsadine4d@rambler.ru,olive oil,oil,17,3740,credit card,1%,10%,3366,pending,5 Heffernan Center,false
9439671785,Lydie,13/04/2024,ldrayn4e@prlog.org,olive oil,oil,5,1100,PayPal,0.9%,100%,1045,paid,79928 Milwaukee Court,true
8219934883,Huberto,29/03/2024,hsimester4f@delicious.com,mustard oil,oil,14,2240,cash,2%,100%,2128,paid,55 Saint Paul Center,false
0180898949,Lizzie,06/04/2024,ldeadman4g@i2i.jp,Sunflower oil,oil,21,3150,Gpay,2%,90%,3055.5,pending,9 Moulton Alley,false
7663272188,Jayme,30/03/2024,jstealy4h@plala.or.jp,Sunflower oil,oil,11,1650,Gpay,2%,50%,1633.5,pending,24588 Oriole Road,true
9022479064,Dewitt,23/01/2024,dsilson4i@yandex.ru,olive oil,oil,9,1980,debit card,1%,100%,1881,paid,22 Mayfield Drive,true
7185083451,Claudetta,09/03/2024,ckemme4j@timesonline.co.uk,coconut oil,oil,24,4800,PayPal,0.9%,50%,4752,pending,94 Summit Place,false
8993668280,Wells,08/04/2024,wburgen4k@gov.uk,coconut oil,oil,3,600,cash,2%,50%,594,pending,504 Sycamore Circle,true
0421092505,Colleen,03/04/2024,cdannohl4l@altervista.org,palm oil,oil,24,2880,debit card,2%,100%,2736,paid,9617 Anthes Avenue,true
7240285952,Baxter,05/02/2024,bprigg4m@wordpress.com,Sunflower oil,oil,12,1800,debit card,0.9%,100%,1710,paid,5 Heath Lane,true
4940069265,Haily,02/01/2024,hmacscherie4n@elegantthemes.com,palm oil,oil,25,3000,cash,2%,80%,2940,pending,2 Jenifer Lane,false
7835171821,Florette,29/04/2024,fpirouet4o@sphinn.com,coconut oil,oil,3,600,credit card,1%,100%,570,paid,3456 Redwing Crossing,false
9632990471,Corrinne,09/01/2024,clipgens4p@yandex.ru,coconut oil,oil,5,1000,credit card,2%,100%,950,paid,881 Westport Trail,true
4713794163,Simmonds,12/02/2024,sovenden4q@live.com,olive oil,oil,21,4620,debit card,1%,80%,4527.6,pending,66 Crest Line Road,false
7848042227,Lefty,24/04/2024,lglave4r@shareasale.com,coconut oil,oil,24,4800,credit card,2%,50%,4752,pending,74056 Weeping Birch Avenue,true
0480853061,Hasty,30/04/2024,hmarchington4s@about.me,palm oil,oil,4,480,cash,1%,10%,432,pending,9 Springview Hill,true
8809813154,Hale,18/01/2024,hbrownsill4t@guardian.co.uk,coconut oil,oil,9,1800,cash,1%,100%,1710,paid,09 Golf Avenue,false
7127327777,Arturo,20/03/2024,adeanesy4u@usgs.gov,palm oil,oil,6,720,PayPal,1%,50%,712.8,pending,99047 Kropf Circle,true
5613736936,Vicky,27/01/2024,vweeds4v@latimes.com,mustard oil,oil,4,640,cash,0.9%,50%,633.6,pending,2 Morrow Street,false
9252472827,Rose,26/04/2024,rbuzza4w@canalblog.com,mustard oil,oil,25,4000,Gpay,1%,50%,3960,pending,8 Nobel Lane,false
9795061437,Andonis,03/02/2024,ajeannaud4x@cafepress.com,palm oil,oil,16,1920,credit card,2%,50%,1900.8,pending,73 Iowa Lane,false
3291162498,Aggi,27/01/2024,akilvington4y@vinaora.com,olive oil,oil,6,1320,debit card,2%,100%,1254,paid,65 Meadow Vale Crossing,false
8773204129,Bobbette,10/01/2024,btrench4z@chron.com,coconut oil,oil,18,3600,credit card,2%,100%,3420,paid,33877 Fremont Terrace,true
8872313619,Meaghan,21/02/2024,mmccarter50@google.nl,coconut oil,oil,15,3000,debit card,2%,90%,2910,pending,3940 Scofield Plaza,false
9141648021,Hermina,02/02/2024,hcroy51@nbcnews.com,coconut oil,oil,18,3600,credit card,2%,100%,3420,paid,22 Del Mar Parkway,true
2284198082,Edlin,07/01/2024,ecosin52@nydailynews.com,coconut oil,oil,4,800,cash,2%,100%,760,paid,79989 Atwood Trail,false
1500248983,Leif,05/03/2024,leynaud53@dailymotion.com,olive oil,oil,16,3520,Gpay,1%,80%,3449.6,pending,76843 Kenwood Plaza,false
3722025931,Philippine,14/01/2024,pstuck54@vinaora.com,Sunflower oil,oil,6,900,PayPal,0.9%,100%,855,paid,28909 Union Place,false
4458249762,Evonne,13/04/2024,elovejoy55@dell.com,Sunflower oil,oil,22,3300,credit card,1%,10%,2970,pending,278 Porter Plaza,false
